Language,Attack Name,Is Applicable,Defense Applied,Attack Success Rate,Defense Mitigation
Telugu,CA_CHAR_06_LEETPerturbation,Yes,Head-Only Finetuning,33.33%,33.33%
Urdu,CA_CHAR_06_LEETPerturbation,Yes,None (Baseline),0.00%,N/A
Urdu,CA_CHAR_06_LEETPerturbation,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA_WORD_01_DateManipulation,Yes,None (Baseline),0.00%,N/A
Hindi,CA_WORD_01_DateManipulation,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA_WORD_01_DateManipulation,Yes,None (Baseline),0.00%,N/A
Malayalam,CA_WORD_01_DateManipulation,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA_WORD_01_DateManipulation,Yes,None (Baseline),0.00%,N/A
Nepali,CA_WORD_01_DateManipulation,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA_WORD_01_DateManipulation,Yes,None (Baseline),0.00%,N/A
Telugu,CA_WORD_01_DateManipulation,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA_WORD_01_DateManipulation,Yes,None (Baseline),0.00%,N/A
Urdu,CA_WORD_01_DateManipulation,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA_WORD_02_Contractions,Yes,None (Baseline),0.00%,N/A
Hindi,CA_WORD_02_Contractions,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA_WORD_02_Contractions,Yes,None (Baseline),0.00%,N/A
Malayalam,CA_WORD_02_Contractions,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA_WORD_02_Contractions,Yes,None (Baseline),0.00%,N/A
Nepali,CA_WORD_02_Contractions,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA_WORD_02_Contractions,Yes,None (Baseline),0.00%,N/A
Telugu,CA_WORD_02_Contractions,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA_WORD_02_Contractions,Yes,None (Baseline),0.00%,N/A
Urdu,CA_WORD_02_Contractions,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA_WORD_03_Jumbling,Yes,None (Baseline),0.00%,N/A
Hindi,CA_WORD_03_Jumbling,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA_WORD_03_Jumbling,Yes,None (Baseline),0.00%,N/A
Malayalam,CA_WORD_03_Jumbling,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA_WORD_03_Jumbling,Yes,None (Baseline),0.00%,N/A
Nepali,CA_WORD_03_Jumbling,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA_WORD_03_Jumbling,Yes,None (Baseline),0.00%,N/A
Telugu,CA_WORD_03_Jumbling,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA_WORD_03_Jumbling,Yes,None (Baseline),0.00%,N/A
Urdu,CA_WORD_03_Jumbling,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA_WORD_04_Typos,Yes,None (Baseline),0.00%,N/A
Hindi,CA_WORD_04_Typos,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA_WORD_04_Typos,Yes,None (Baseline),0.00%,N/A
Malayalam,CA_WORD_04_Typos,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA_WORD_04_Typos,Yes,None (Baseline),0.00%,N/A
Nepali,CA_WORD_04_Typos,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA_WORD_04_Typos,Yes,None (Baseline),0.00%,N/A
Telugu,CA_WORD_04_Typos,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA_WORD_04_Typos,Yes,None (Baseline),0.00%,N/A
Urdu,CA_WORD_04_Typos,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA_WORD_05_RepeatPhrases,Yes,None (Baseline),0.00%,N/A
Hindi,CA_WORD_05_RepeatPhrases,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA_WORD_05_RepeatPhrases,Yes,None (Baseline),0.00%,N/A
Malayalam,CA_WORD_05_RepeatPhrases,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA_WORD_05_RepeatPhrases,Yes,None (Baseline),0.00%,N/A
Nepali,CA_WORD_05_RepeatPhrases,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA_WORD_05_RepeatPhrases,Yes,None (Baseline),0.00%,N/A
Telugu,CA_WORD_05_RepeatPhrases,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA_WORD_05_RepeatPhrases,Yes,None (Baseline),0.00%,N/A
Urdu,CA_WORD_05_RepeatPhrases,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA_WORD_06_WordRepetition,Yes,None (Baseline),0.00%,N/A
Hindi,CA_WORD_06_WordRepetition,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA_WORD_06_WordRepetition,Yes,None (Baseline),0.00%,N/A
Malayalam,CA_WORD_06_WordRepetition,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA_WORD_06_WordRepetition,Yes,None (Baseline),0.00%,N/A
Nepali,CA_WORD_06_WordRepetition,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA_WORD_06_WordRepetition,Yes,None (Baseline),0.00%,N/A
