Language,Attack Name,Is Applicable,Defense Applied,Attack Success Rate,Defense Mitigation
Hindi,EA-IMPRET-01,Yes,None (Baseline),0.00%,N/A
Hindi,EA-IMPRET-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,EA-IMPRET-01,Yes,None (Baseline),0.00%,N/A
Malayalam,EA-IMPRET-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,EA-IMPRET-01,Yes,None (Baseline),0.00%,N/A
Nepali,EA-IMPRET-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,EA-IMPRET-01,Yes,None (Baseline),0.00%,N/A
Telugu,EA-IMPRET-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,EA-IMPRET-01,Yes,None (Baseline),0.00%,N/A
Urdu,EA-IMPRET-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,EA-LEXVAR-01,Yes,None (Baseline),0.00%,N/A
Hindi,EA-LEXVAR-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,EA-LEXVAR-01,Yes,None (Baseline),14.29%,N/A
Malayalam,EA-LEXVAR-01,Yes,Head-Only Finetuning,0.00%,-14.29%
Nepali,EA-LEXVAR-01,Yes,None (Baseline),0.00%,N/A
Nepali,EA-LEXVAR-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,EA-LEXVAR-01,Yes,None (Baseline),0.00%,N/A
Telugu,EA-LEXVAR-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,EA-LEXVAR-01,Yes,None (Baseline),0.00%,N/A
Urdu,EA-LEXVAR-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,EA-NEUTNOISE-01,Yes,None (Baseline),0.00%,N/A
Hindi,EA-NEUTNOISE-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,EA-NEUTNOISE-01,Yes,None (Baseline),28.57%,N/A
Malayalam,EA-NEUTNOISE-01,Yes,Head-Only Finetuning,0.00%,-28.57%
Nepali,EA-NEUTNOISE-01,Yes,None (Baseline),0.00%,N/A
Nepali,EA-NEUTNOISE-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,EA-NEUTNOISE-01,Yes,None (Baseline),66.67%,N/A
Telugu,EA-NEUTNOISE-01,Yes,Head-Only Finetuning,0.00%,-66.67%
Urdu,EA-NEUTNOISE-01,Yes,None (Baseline),75.00%,N/A
Urdu,EA-NEUTNOISE-01,Yes,Head-Only Finetuning,0.00%,-75.00%
Hindi,EA-OMITGEN-01,Yes,None (Baseline),0.00%,N/A
Hindi,EA-OMITGEN-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,EA-OMITGEN-01,Yes,None (Baseline),14.29%,N/A
Malayalam,EA-OMITGEN-01,Yes,Head-Only Finetuning,0.00%,-14.29%
Nepali,EA-OMITGEN-01,Yes,None (Baseline),0.00%,N/A
Nepali,EA-OMITGEN-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,EA-OMITGEN-01,Yes,None (Baseline),100.00%,N/A
Telugu,EA-OMITGEN-01,Yes,Head-Only Finetuning,0.00%,-100.00%
Urdu,EA-OMITGEN-01,Yes,None (Baseline),75.00%,N/A
Urdu,EA-OMITGEN-01,Yes,Head-Only Finetuning,0.00%,-75.00%
Hindi,EA-OMITOMISSION-01,Yes,None (Baseline),50.00%,N/A
Hindi,EA-OMITOMISSION-01,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,EA-OMITOMISSION-01,Yes,None (Baseline),0.00%,N/A
Malayalam,EA-OMITOMISSION-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,EA-OMITOMISSION-01,Yes,None (Baseline),0.00%,N/A
Nepali,EA-OMITOMISSION-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,EA-OMITOMISSION-01,Yes,None (Baseline),66.67%,N/A
Telugu,EA-OMITOMISSION-01,Yes,Head-Only Finetuning,0.00%,-66.67%
Urdu,EA-OMITOMISSION-01,Yes,None (Baseline),0.00%,N/A
Urdu,EA-OMITOMISSION-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,EA-OMITPARA-01,Yes,None (Baseline),50.00%,N/A
Hindi,EA-OMITPARA-01,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,EA-OMITPARA-01,Yes,None (Baseline),14.29%,N/A
Malayalam,EA-OMITPARA-01,Yes,Head-Only Finetuning,0.00%,-14.29%
Nepali,EA-OMITPARA-01,Yes,None (Baseline),0.00%,N/A
Nepali,EA-OMITPARA-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,EA-OMITPARA-01,Yes,None (Baseline),100.00%,N/A
Telugu,EA-OMITPARA-01,Yes,Head-Only Finetuning,0.00%,-100.00%
Urdu,EA-OMITPARA-01,Yes,None (Baseline),75.00%,N/A
Urdu,EA-OMITPARA-01,Yes,Head-Only Finetuning,0.00%,-75.00%
Hindi,EA-SUPGEN-01,Yes,None (Baseline),50.00%,N/A
Hindi,EA-SUPGEN-01,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,EA-SUPGEN-01,Yes,None (Baseline),42.86%,N/A
Malayalam,EA-SUPGEN-01,Yes,Head-Only Finetuning,0.00%,-42.86%
Nepali,EA-SUPGEN-01,Yes,None (Baseline),0.00%,N/A
Nepali,EA-SUPGEN-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,EA-SUPGEN-01,Yes,None (Baseline),66.67%,N/A
Telugu,EA-SUPGEN-01,Yes,Head-Only Finetuning,0.00%,-66.67%
Urdu,EA-SUPGEN-01,Yes,None (Baseline),75.00%,N/A
Urdu,EA-SUPGEN-01,Yes,Head-Only Finetuning,0.00%,-75.00%
Hindi,CA-01_Model-targeting,Yes,None (Baseline),0.00%,N/A
Hindi,CA-01_Model-targeting,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA-01_Model-targeting,Yes,None (Baseline),0.00%,N/A
Malayalam,CA-01_Model-targeting,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA-01_Model-targeting,Yes,None (Baseline),0.00%,N/A
Nepali,CA-01_Model-targeting,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-01_Model-targeting,Yes,None (Baseline),0.00%,N/A
Telugu,CA-01_Model-targeting,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA-01_Model-targeting,Yes,None (Baseline),0.00%,N/A
Urdu,CA-01_Model-targeting,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA-02_Dataset_Bias,Yes,None (Baseline),50.00%,N/A
Hindi,CA-02_Dataset_Bias,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,CA-02_Dataset_Bias,Yes,None (Baseline),85.71%,N/A
Malayalam,CA-02_Dataset_Bias,Yes,Head-Only Finetuning,0.00%,-85.71%
Nepali,CA-02_Dataset_Bias,Yes,None (Baseline),0.00%,N/A
Nepali,CA-02_Dataset_Bias,Yes,Head-Only Finetuning,25.00%,25.00%
Telugu,CA-02_Dataset_Bias,Yes,None (Baseline),66.67%,N/A
Telugu,CA-02_Dataset_Bias,Yes,Head-Only Finetuning,0.00%,-66.67%
Urdu,CA-02_Dataset_Bias,Yes,None (Baseline),50.00%,N/A
Urdu,CA-02_Dataset_Bias,Yes,Head-Only Finetuning,0.00%,-50.00%
Hindi,CA-03_Lexically-informed,Yes,None (Baseline),0.00%,N/A
Hindi,CA-03_Lexically-informed,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA-03_Lexically-informed,Yes,None (Baseline),0.00%,N/A
Malayalam,CA-03_Lexically-informed,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA-03_Lexically-informed,Yes,None (Baseline),0.00%,N/A
Nepali,CA-03_Lexically-informed,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-03_Lexically-informed,Yes,None (Baseline),0.00%,N/A
Telugu,CA-03_Lexically-informed,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA-03_Lexically-informed,Yes,None (Baseline),0.00%,N/A
Urdu,CA-03_Lexically-informed,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA-04_Controversy,Yes,None (Baseline),50.00%,N/A
Hindi,CA-04_Controversy,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,CA-04_Controversy,Yes,None (Baseline),85.71%,N/A
Malayalam,CA-04_Controversy,Yes,Head-Only Finetuning,0.00%,-85.71%
Nepali,CA-04_Controversy,Yes,None (Baseline),0.00%,N/A
Nepali,CA-04_Controversy,Yes,Head-Only Finetuning,50.00%,50.00%
Telugu,CA-04_Controversy,Yes,None (Baseline),66.67%,N/A
Telugu,CA-04_Controversy,Yes,Head-Only Finetuning,0.00%,-66.67%
Urdu,CA-04_Controversy,Yes,None (Baseline),75.00%,N/A
Urdu,CA-04_Controversy,Yes,Head-Only Finetuning,0.00%,-75.00%
Hindi,CA-05_SubsetNum,Yes,None (Baseline),0.00%,N/A
Hindi,CA-05_SubsetNum,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA-05_SubsetNum,Yes,None (Baseline),0.00%,N/A
Malayalam,CA-05_SubsetNum,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA-05_SubsetNum,Yes,None (Baseline),0.00%,N/A
Nepali,CA-05_SubsetNum,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-05_SubsetNum,Yes,None (Baseline),0.00%,N/A
Telugu,CA-05_SubsetNum,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA-05_SubsetNum,Yes,None (Baseline),0.00%,N/A
Urdu,CA-05_SubsetNum,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA-06_Fact_Mixing,Yes,None (Baseline),50.00%,N/A
Hindi,CA-06_Fact_Mixing,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,CA-06_Fact_Mixing,Yes,None (Baseline),28.57%,N/A
Malayalam,CA-06_Fact_Mixing,Yes,Head-Only Finetuning,0.00%,-28.57%
Nepali,CA-06_Fact_Mixing,Yes,None (Baseline),0.00%,N/A
Nepali,CA-06_Fact_Mixing,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-06_Fact_Mixing,Yes,None (Baseline),66.67%,N/A
Telugu,CA-06_Fact_Mixing,Yes,Head-Only Finetuning,0.00%,-66.67%
Urdu,CA-06_Fact_Mixing,Yes,None (Baseline),25.00%,N/A
Urdu,CA-06_Fact_Mixing,Yes,Head-Only Finetuning,0.00%,-25.00%
Hindi,CA-07_Adv_Trigger,Yes,None (Baseline),0.00%,N/A
Hindi,CA-07_Adv_Trigger,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA-07_Adv_Trigger,Yes,None (Baseline),14.29%,N/A
Malayalam,CA-07_Adv_Trigger,Yes,Head-Only Finetuning,0.00%,-14.29%
Nepali,CA-07_Adv_Trigger,Yes,None (Baseline),0.00%,N/A
Nepali,CA-07_Adv_Trigger,Yes,Head-Only Finetuning,50.00%,50.00%
Telugu,CA-07_Adv_Trigger,Yes,None (Baseline),0.00%,N/A
Telugu,CA-07_Adv_Trigger,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA-07_Adv_Trigger,Yes,None (Baseline),0.00%,N/A
Urdu,CA-07_Adv_Trigger,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA-08_NotClear,Yes,None (Baseline),0.00%,N/A
Hindi,CA-08_NotClear,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA-08_NotClear,Yes,None (Baseline),42.86%,N/A
Malayalam,CA-08_NotClear,Yes,Head-Only Finetuning,14.29%,-28.57%
Nepali,CA-08_NotClear,Yes,None (Baseline),0.00%,N/A
Nepali,CA-08_NotClear,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-08_NotClear,Yes,None (Baseline),66.67%,N/A
Telugu,CA-08_NotClear,Yes,Head-Only Finetuning,0.00%,-66.67%
Urdu,CA-08_NotClear,Yes,None (Baseline),50.00%,N/A
Urdu,CA-08_NotClear,Yes,Head-Only Finetuning,0.00%,-50.00%
Hindi,CA-09_FiniteSet,Yes,None (Baseline),0.00%,N/A
Hindi,CA-09_FiniteSet,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA-09_FiniteSet,Yes,None (Baseline),0.00%,N/A
Malayalam,CA-09_FiniteSet,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA-09_FiniteSet,Yes,None (Baseline),0.00%,N/A
Nepali,CA-09_FiniteSet,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-09_FiniteSet,Yes,None (Baseline),0.00%,N/A
Telugu,CA-09_FiniteSet,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA-09_FiniteSet,Yes,None (Baseline),0.00%,N/A
Urdu,CA-09_FiniteSet,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA-10_NotEnoughInfo_Add,Yes,None (Baseline),50.00%,N/A
Hindi,CA-10_NotEnoughInfo_Add,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,CA-10_NotEnoughInfo_Add,Yes,None (Baseline),42.86%,N/A
Malayalam,CA-10_NotEnoughInfo_Add,Yes,Head-Only Finetuning,0.00%,-42.86%
Nepali,CA-10_NotEnoughInfo_Add,Yes,None (Baseline),0.00%,N/A
Nepali,CA-10_NotEnoughInfo_Add,Yes,Head-Only Finetuning,50.00%,50.00%
Telugu,CA-10_NotEnoughInfo_Add,Yes,None (Baseline),100.00%,N/A
Telugu,CA-10_NotEnoughInfo_Add,Yes,Head-Only Finetuning,0.00%,-100.00%
Urdu,CA-10_NotEnoughInfo_Add,Yes,None (Baseline),75.00%,N/A
Urdu,CA-10_NotEnoughInfo_Add,Yes,Head-Only Finetuning,0.00%,-75.00%
Hindi,CA-11_Conjunction,Yes,None (Baseline),0.00%,N/A
Hindi,CA-11_Conjunction,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA-11_Conjunction,Yes,None (Baseline),0.00%,N/A
Malayalam,CA-11_Conjunction,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA-11_Conjunction,Yes,None (Baseline),0.00%,N/A
Nepali,CA-11_Conjunction,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-11_Conjunction,Yes,None (Baseline),0.00%,N/A
Telugu,CA-11_Conjunction,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA-11_Conjunction,Yes,None (Baseline),0.00%,N/A
Urdu,CA-11_Conjunction,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA-12_Add_Unver,Yes,None (Baseline),0.00%,N/A
Hindi,CA-12_Add_Unver,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA-12_Add_Unver,Yes,None (Baseline),0.00%,N/A
Malayalam,CA-12_Add_Unver,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA-12_Add_Unver,Yes,None (Baseline),0.00%,N/A
Nepali,CA-12_Add_Unver,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-12_Add_Unver,Yes,None (Baseline),0.00%,N/A
Telugu,CA-12_Add_Unver,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA-12_Add_Unver,Yes,None (Baseline),75.00%,N/A
Urdu,CA-12_Add_Unver,Yes,Head-Only Finetuning,0.00%,-75.00%
Hindi,CA-13_Game-play,Yes,None (Baseline),50.00%,N/A
Hindi,CA-13_Game-play,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,CA-13_Game-play,Yes,None (Baseline),28.57%,N/A
Malayalam,CA-13_Game-play,Yes,Head-Only Finetuning,0.00%,-28.57%
Nepali,CA-13_Game-play,Yes,None (Baseline),0.00%,N/A
Nepali,CA-13_Game-play,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-13_Game-play,Yes,None (Baseline),0.00%,N/A
Telugu,CA-13_Game-play,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA-13_Game-play,Yes,None (Baseline),0.00%,N/A
Urdu,CA-13_Game-play,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA-14_Multi-hop,Yes,None (Baseline),50.00%,N/A
Hindi,CA-14_Multi-hop,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,CA-14_Multi-hop,Yes,None (Baseline),42.86%,N/A
Malayalam,CA-14_Multi-hop,Yes,Head-Only Finetuning,0.00%,-42.86%
Nepali,CA-14_Multi-hop,Yes,None (Baseline),0.00%,N/A
Nepali,CA-14_Multi-hop,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-14_Multi-hop,Yes,None (Baseline),100.00%,N/A
Telugu,CA-14_Multi-hop,Yes,Head-Only Finetuning,0.00%,-100.00%
Urdu,CA-14_Multi-hop,Yes,None (Baseline),75.00%,N/A
Urdu,CA-14_Multi-hop,Yes,Head-Only Finetuning,0.00%,-75.00%
Hindi,CA-15_Multi-hop_Temp,Yes,None (Baseline),0.00%,N/A
Hindi,CA-15_Multi-hop_Temp,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA-15_Multi-hop_Temp,Yes,None (Baseline),14.29%,N/A
Malayalam,CA-15_Multi-hop_Temp,Yes,Head-Only Finetuning,0.00%,-14.29%
Nepali,CA-15_Multi-hop_Temp,Yes,None (Baseline),0.00%,N/A
Nepali,CA-15_Multi-hop_Temp,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-15_Multi-hop_Temp,Yes,None (Baseline),0.00%,N/A
Telugu,CA-15_Multi-hop_Temp,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA-15_Multi-hop_Temp,Yes,None (Baseline),0.00%,N/A
Urdu,CA-15_Multi-hop_Temp,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA-16_Colloquial,Yes,None (Baseline),50.00%,N/A
Hindi,CA-16_Colloquial,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,CA-16_Colloquial,Yes,None (Baseline),28.57%,N/A
Malayalam,CA-16_Colloquial,Yes,Head-Only Finetuning,0.00%,-28.57%
Nepali,CA-16_Colloquial,Yes,None (Baseline),0.00%,N/A
Nepali,CA-16_Colloquial,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA-16_Colloquial,Yes,None (Baseline),0.00%,N/A
Telugu,CA-16_Colloquial,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA-16_Colloquial,Yes,None (Baseline),0.00%,N/A
Urdu,CA-16_Colloquial,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,Homoglyph,Yes,None (Baseline),0.00%,N/A
Hindi,Homoglyph,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,Homoglyph,Yes,None (Baseline),0.00%,N/A
Malayalam,Homoglyph,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,Homoglyph,Yes,None (Baseline),0.00%,N/A
Nepali,Homoglyph,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,Homoglyph,Yes,None (Baseline),0.00%,N/A
Telugu,Homoglyph,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,Homoglyph,Yes,None (Baseline),0.00%,N/A
Urdu,Homoglyph,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,Jumbling,Yes,None (Baseline),0.00%,N/A
Hindi,Jumbling,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,Jumbling,Yes,None (Baseline),14.29%,N/A
Malayalam,Jumbling,Yes,Head-Only Finetuning,0.00%,-14.29%
Nepali,Jumbling,Yes,None (Baseline),0.00%,N/A
Nepali,Jumbling,Yes,Head-Only Finetuning,25.00%,25.00%
Telugu,Jumbling,Yes,None (Baseline),0.00%,N/A
Telugu,Jumbling,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,Jumbling,Yes,None (Baseline),0.00%,N/A
Urdu,Jumbling,Yes,Head-Only Finetuning,0.00%,-0.00%
